date,type,code,name,buyShares,buyPrice,sellShares,sellPrice,fee,tax,amount,cost,spend,income,note,person
2025/3/28,賣,2468,華經,0,0,1000,59.20,51,178,59200,228,0,58972,,alex
2025/4/8,買,1101,台泥,2000,29.00,0,0,50,0,58000,50,58050,0,,alex
2025/4/8,買,6136,富爾特,2000,22.05,0,0,38,0,44100,38,44138,0,,alex
2025/4/10,賣,6136,富爾特,0,0,2000,23.30,40,140,46600,180,0,46420,,alex
2025/8/22,賣,1504,東元,0,0,1000,70.10,60,210,70100,270,0,69830,,alex
2025/8/25,賣,1504,東元,0,0,1000,74.20,63,223,74200,286,0,73914,,alex
2025/8/26,買,1504,東元,1000,70.10,0,0,60,0,70100,60,70160,0,,alex
2025/8/27,賣,1504,東元,0,0,1000,71.40,61,214,71400,275,0,71125,,alex
2025/8/28,買,1504,東元,1000,68.50,0,0,59,0,68500,59,68559,0,,alex
2025/9/2,賣,00885,富邦越南,0,0,3000,16.24,42,146,48720,188,0,48532,,alex
2025/9/3,賣,00885,富邦越南,0,0,1000,16.30,20,49,16300,69,0,16231,,alex
2025/9/4,買,2498,宏達電,1000,72.00,0,0,62,0,72000,62,72062,0,,alex
2025/9/4,賣,2498,宏達電,0,0,1000,74.60,64,224,74600,288,0,74312,,alex
2025/9/5,賣,00885,富邦越南,0,0,1000,16.45,20,49,16450,69,0,16381,,alex
2025/9/8,賣,1504,東元,0,0,1000,71.50,61,215,71500,276,0,71224,,alex
2025/9/9,買,1504,東元,1000,78.40,0,0,67,0,78400,67,78467,0,,alex
2025/9/9,賣,1504,東元,0,0,1000,79.60,68,239,79600,307,0,79293,,alex
2025/9/9,賣,1504,東元,0,0,1000,79.60,68,239,79600,307,0,79293,,alex
2025/9/9,賣,1504,東元,0,0,1000,79.20,68,238,79200,305,0,78895,,alex
2025/9/9,賣,2498,宏達電,0,0,1000,67.10,57,201,67100,259,0,66841,,alex
2025/9/10,賣,1504,東元,0,0,1000,86.00,74,258,86000,332,0,85668,,alex
2025/9/10,賣,1504,東元,0,0,1000,87.50,75,263,87500,337,0,87163,,alex
2025/9/12,賣,1504,東元,0,0,2000,90.70,155,544,181400,699,0,180701,,alex
2025/9/16,買,1504,東元,1000,86.00,0,0,74,0,86000,74,86074,0,,alex
2025/9/17,賣,1504,東元,0,0,1000,86.40,74,259,86400,333,0,86067,,alex
2025/9/24,賣,2498,宏達電,0,0,1000,63.60,54,191,63600,245,0,63355,,alex
2025/9/26,賣,2498,宏達電,0,0,1000,60.80,52,182,60800,234,0,60566,,alex
2025/9/26,買,1504,東元,1000,97.10,0,0,83,0,97100,83,97183,0,,alex
2025/9/30,賣,00885,富邦越南,0,0,2000,16.30,28,98,32600,126,0,32474,,alex
2025/10/1,賣,1504,東元,0,0,1000,104.50,89,314,104500,403,0,104097,,alex
2025/10/14,賣,00885,富邦越南,0,0,2000,18.00,31,108,36000,139,0,35861,,alex
2025/10/20,買,00679B,元大美債20年,2000,27.51,0,0,47,0,55020,47,55067,0,,alex
2025/11/4,賣,9907,統一實,0,0,1000,18.60,20,56,18600,76,0,18524,,alex
2025/11/5,賣,2317,鴻海,0,0,1000,238.50,204,716,238500,919,0,237581,,alex
2025/11/14,買,1504,東元,1000,99.60,0,0,85,0,99600,85,99685,0,,alex
2025/12/24,賣,00885,富邦越南,0,0,1000,18.20,20,55,18200,75,0,18125,,alex
2025/12/31,賣,6770,力積電,0,0,2000,40.60,69,244,81200,313,0,80887,,alex
